country,quarter,precipitation
Italy,2017-Q3,41.3
Italy,2017-Q4,72.8
Italy,2018-Q1,70.8
Italy,2018-Q2,50.7
Italy,2018-Q3,46.5
Italy,2018-Q4,84
Italy,2019-Q1,77.4
Italy,2019-Q2,50.7
Italy,2019-Q3,43.8
Italy,2019-Q4,85.6
Italy,2020-Q1,67.8
Italy,2020-Q2,50.1
Italy,2020-Q3,41.8
Italy,2020-Q4,73.5
Italy,2021-Q1,78
Italy,2021-Q2,54.4
Italy,2021-Q3,47.7
Italy,2021-Q4,80.1
Italy,2022-Q1,67.1
Italy,2022-Q2,47.7
Italy,2022-Q3,43.8
Italy,2022-Q4,82.8
Italy,2023-Q1,75.2
Italy,2023-Q2,53.2
Italy,2023-Q3,44.3
Italy,2023-Q4,89.9
Italy,2024-Q1,75.9
Italy,2024-Q2,52.3
Italy,2024-Q3,47.6
Italy,2024-Q4,81.5
Italy,2025-Q1,69.1
Poland,2017-Q1,50.8
Poland,2017-Q2,67.7
Poland,2017-Q3,81.6
Poland,2017-Q4,62.7
Poland,2018-Q1,55.5
Poland,2018-Q2,73.2
Poland,2018-Q3,73.3
Poland,2018-Q4,71.5
Poland,2019-Q1,60.7
Poland,2019-Q2,67.2
Poland,2019-Q3,75.7
Poland,2019-Q4,63
Poland,2020-Q1,53.4
Poland,2020-Q2,64.5
Poland,2020-Q3,77.8
Poland,2020-Q4,66
Poland,2021-Q1,51.1
Poland,2021-Q2,68.2
Poland,2021-Q3,82.7
Poland,2021-Q4,62.8
Poland,2022-Q1,52.4
Poland,2022-Q2,71.6
Poland,2022-Q3,84.3
Poland,2022-Q4,63.2
Poland,2023-Q1,58.6
Poland,2023-Q2,75.9
Poland,2023-Q3,73.2
Poland,2023-Q4,70
Poland,2024-Q1,55.4
Poland,2024-Q2,74.4
Poland,2024-Q3,79.7
Poland,2024-Q4,67.8
Poland,2025-Q1,52.5
Spain,2017-Q1,60
Spain,2017-Q2,45.7
Spain,2017-Q3,34.9
Spain,2017-Q4,70.4
Spain,2018-Q1,63
Spain,2018-Q2,43.2
Spain,2018-Q3,31.8
Spain,2018-Q4,77.6
Spain,2019-Q1,56.7
Spain,2019-Q2,49.5
Spain,2019-Q3,38.6
Spain,2019-Q4,82
Spain,2020-Q1,59.3
Spain,2020-Q2,41.2
Spain,2020-Q3,38.6
Spain,2020-Q4,75
Spain,2021-Q1,66.9
Spain,2021-Q2,50.2
Spain,2021-Q3,38.2
Spain,2021-Q4,73.4
Spain,2022-Q1,60.1
Spain,2022-Q2,49.4
Spain,2022-Q3,34.6
Spain,2022-Q4,71.8
Spain,2023-Q1,62.5
Spain,2023-Q2,50.4
Spain,2023-Q3,37.5
Spain,2023-Q4,78.3
Spain,2024-Q1,57.1
Spain,2024-Q2,47.6
Spain,2024-Q3,39.8
Spain,2024-Q4,72
Spain,2025-Q1,62.6
Denmark,2017Q1,82.3
Denmark,2017Q2,75.6
Denmark,2017Q3,78.9
Denmark,2017Q4,86.5
Denmark,2018Q1,85.1
Denmark,2018Q2,73.2
Denmark,2018Q3,76.8
Denmark,2018Q4,89.2
Denmark,2019Q1,83.7
Denmark,2019Q2,74.5
Denmark,2019Q3,77.6
Denmark,2019Q4,87.8
Denmark,2020Q1,86.2
Denmark,2020Q2,72.9
Denmark,2020Q3,79.5
Denmark,2020Q4,90.1
Denmark,2021Q1,84.6
Denmark,2021Q2,74.2
Denmark,2021Q3,78.2
Denmark,2021Q4,88.7
Denmark,2022Q1,87.5
Denmark,2022Q2,71.8
Denmark,2022Q3,80.8
Denmark,2022Q4,91.8
Denmark,2023Q1,85.8
Denmark,2023Q2,73.5
Denmark,2023Q3,79.2
Denmark,2023Q4,89.7
Denmark,2024Q1,87.2
Denmark,2024Q2,72.2
Denmark,2024Q3,80.5
Denmark,2024Q4,91.5
Denmark,2025Q1,84.9
Denmark,2025Q2,71.9
Denmark,2025Q3,80.1
Denmark,2025Q4,89.2
Romania,2017Q1,65.3
Romania,2017Q2,42.2
Romania,2017Q3,38.6
Romania,2017Q4,72.1
Romania,2018Q1,68.1
Romania,2018Q2,39.8
Romania,2018Q3,40.3
Romania,2018Q4,75.4
Romania,2019Q1,66.6
Romania,2019Q2,41.5
Romania,2019Q3,39.2
Romania,2019Q4,73.7
Romania,2020Q1,69.4
Romania,2020Q2,39.6
Romania,2020Q3,41.1
Romania,2020Q4,76.2
Romania,2021Q1,67.8
Romania,2021Q2,41.2
Romania,2021Q3,39.8
Romania,2021Q4,74.8
Romania,2022Q1,70.8
Romania,2022Q2,38.8
Romania,2022Q3,42.8
Romania,2022Q4,77.9
Romania,2023Q1,68.1
Romania,2023Q2,40.9
Romania,2023Q3,40.5
Romania,2023Q4,75.5
Romania,2024Q1,70.5
Romania,2024Q2,39.2
Romania,2024Q3,42.5
Romania,2024Q4,77.6
Romania,2025Q1,72.2
Romania,2025Q2,39.8
Romania,2025Q3,43.2
Romania,2025Q4,78.9
